"filename", "language", "Docker", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\kpi\kpi.controller.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 6, 66
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\kpi\kpi.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 2, 11
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\kpi\kpi.service.ts", "TypeScript", 0, 0, 0, 0, 397, 11, 48, 456
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\dto\create-loop-config.dto.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 3, 23
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\dto\create-loop.dto.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 2, 14
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\dto\update-loop-config.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 1, 4
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\dto\update-loop.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 1, 4
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\entities\loop-config.entity.ts", "TypeScript", 0, 0, 0, 0, 26, 4, 7, 37
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\entities\loop.entity.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 2, 18
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\loop-config.service.ts", "TypeScript", 0, 0, 0, 0, 115, 9, 22, 146
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\loops.controller.ts", "TypeScript", 0, 0, 0, 0, 201, 5, 16, 222
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\loops.module.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 2, 21
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\loops.service.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 7, 57
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\loops\opcua.service.ts", "TypeScript", 0, 0, 0, 0, 155, 6, 23, 184
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\main.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 4, 25
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\opcua\opcua-proxy.controller.ts", "TypeScript", 0, 0, 0, 0, 43, 4, 9, 56
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\opcua\opcua-proxy.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 2, 10
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\shared\influxdb.service.ts", "TypeScript", 0, 0, 0, 0, 175, 0, 24, 199
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\src\shared\pg.service.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 2, 11
"l:\Office\CLPM\clpm-app-latest\backend\api-gateway\tsconfig.json", "JSON with Comments", 0, 0, 0, 16, 0, 0, 1, 17
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\Dockerfile", "Docker", 7, 0, 0, 0, 0, 0, 1, 8
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\package.json", "JSON", 0, 0, 26, 0, 0, 0, 1, 27
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\src\index.js", "JavaScript", 0, 382, 0, 0, 0, 29, 86, 497
"l:\Office\CLPM\clpm-app-latest\backend\kpi-worker\src\influxClient.js", "JavaScript", 0, 130, 0, 0, 0, 0, 19, 149
"Total", "-", 29, 1005, 132, 16, 1697, 103, 444, 3426
